type,posts
ESTJ,"I'll try to help the best I can, then. Answering a few questions seems easy enough."
ESTJ,"So, most other forums has one like this, but I couldn't find one here.

(think we'll need one regarding all the stereotypes here...)
So guys (and girls), just go on and shoot any questions you'd like!
(other ESTJs are welcome to answer as well of course, but I guess you don't need an invitation for that..)"
ESTJ,"I tried it on a whim once. I figured that I would practice and get better at it, but then I got too busy to continue and dropped it. In hindsight, there wasn't much I actually wanted to draw, but I figured that I'd do it just for the sake of knowing how to do it if I ever needed it. I also kinda wanted to show off to a friend that liked to draw so we could have another topic in common...

Drawing is also going to be a skill I'll be developing at university since I'm going for an engineering degree, but that's a different kind of drawing than the ones you do for fun, I think."
ESTJ,"Yes. I had tried a lot of things out just for the sake of getting this one's attention. It didn't really pan out though, since every time the thought of showing anything to her, I'd just go back to working on it because I didn't think it was good enough. Before I knew it, it was no longer about impressing her, but rather, finally being satisfied with myself and achieving that peace of mind.

In the end, I didn't get the girl, but I did acquire a genuine interest in a lot of hobbies, some of which I still practice to this day. I was a more wholesome person at the end of it all. I'm glad I had that crush on her because it motivated me to better myself and seek out new things."
ESTJ,"In actuality, part of me is still scarring from some stuff that happened after the fact. I've went through a lot of trouble to deliberately bury the feelings I had and any memory that could make them surface. Used to be that I would just see something that reminded of a random fact about her, and then I'd remember everything that I knew, and then I'd remember her smile, and then I'd get sad.

At the time, ignoring everything that happened was the only way I knew to stop the pain. Maybe I'm still subconsciously avoiding it, even though it doesn't hurt me anymore."
ESTJ,"Smiling is the only way I can assure casual friends/acquaintances that I do not hate them and am looking at them with sheer disgust, as my default expression might indicate.

I feel that maybe smirking helps me be more confident in myself. And if I'm actually grinning, then I'm really happy. Probably because something went very well and I'm basking myself in a mad banquet of satisfaction."
ESTJ,"I would look at them a lot, probably? And smile? Honestly, not much different from how everyone looks, I guess.

I don't know, I never managed to catch a glimpse of my own face when glancing longingly at someone else."
ESTJ,"I knew my husband was interested in me because I would catch him looking at me a lot. When I'd catch his eye, he'd lok really intense with this half smile half smirk.

I asked him why it took him forever to approach me and he said he was assessing the situation. Seeing if I was interested, unattached, etc."
ESTJ,"Well, you're Te-doms like us, so obviously you have a good head on your shoulders.

Other than that, I don't have many thoughts about it since I never did meet many of you. I think one of my classmates back in high school could have been ENTJ, and I admired her for a lot of the characteristics you'd attribute to ENTJs.

I also, despite repeatedly reading several explanations about it, don't really grasp what Ni actually is about. So I don't have a clear idea of how we're different from each other."
ESTJ,I take the silence as a definite ??yes??~
ESTJ,"Depends on stalking, but there are options:
1) If opponent is strong, attempts to hide. If opponent is weak, punch in the face, maybe no violence, but you get the vibe.
2) Blushing."
ESTJ,False belief mostly. Never had any exceptional problems with that specific type.
ESTJ,"If you wanna know something about ESTJ's emotions in general, then it's likely a thing they are most vulnerable at, completely their weakest part. In healthy manner emotional needs shouldn't be ignored by ESTJ, but rather be very personal and very unknown even to ESTJ himself. At least this is what I think. Using emotions makes me feel 'weak', it's just not my thing, but I appreciate them a lot. I surely feel them, but often don't really comprehend them completely, fail to express them, overall it's something to hide and to keep for yourself, because I wouldn't want to make a wrong step. Meanwhile dominant thinking function is complete opposite, it can be powerful, brash, outbursting and spitting logic, where it needs to. So if you think, you can read very subtle things and silent agreements, then relationship can start. I can say that after my grandpa's death, almost 5 months ago, I still haven't touched emotional conversations topic. Not because I don't feel anything, but because becoming vulnerable freaks me out. Similar to being naked in public. And the thing is that I probably felt the biggest emotional impact out of all of those people, but I never told that to anyone.
Click to expand...
I guess you are talking about this, but i would like to know what ESTJs think of other people's sensitivities. This seems to me that you are talking about your own emotions. The reason i am asking is, my mom is an ESTJ and whenever i try to explain a problem of mine she just can not comprehend why i don't do things in a logical manner. I can't seem to explain her that my emotions are in my way, she tries to understand me i can see that, but it also seems like something so unfamiliar to her. So i'm actually wondering how you guys perceive it, like what is really going on inside your head when you encounter smb like that."
ESTJ,"I believe I can help. With less self-aware ESTJ's, inferior Fi suppresses their own feeling based judgments and so they tend to consider that the same in others is also a weakness. It's a projection. They have spent their lives suppressing their feeling based judgements and that has given them success so it becomes a self-repeating cycle of suppression > validation - which then again gets projected to others because they had success with it. Emotions while not Jungian related in terms of psychology similarly also got repressed because repression for them reaps rewards over time ... Then comes the nature of Si where it's mostly projection of what worked for them would work for others - and since repression of emotion worked for them, it'll work for someone else too. Most (if not all) ESTJ's don't have the time or the energy or even desire to understand emotions of others at all because they're so busy repressing all of that F related ""stuff"" in their own mind. They need to be repressed because if they're not repressed then they get in the way of achieving what they wanted to achieve. My dad is a lot like your mom in that regard. Only after turning 73 has he started somewhat exploring his emotional side, but even then he'll share a few emotional things one day and then go back to his repressive state the next like nothing ever happened. Right now one of my cousins is dying of a stroke (he's only 51) and my dad has no emotion to speak of. None at all. It's clear that he's buried it so deep that it seems like it doesn't even exist - and he probably believes that it doesn't exist for him either.

The solution? Go and do it anyway. Succeed and then tell them. See, there are other ways of doing things that work as well."
ESTJ,Ok...thanks.
ESTJ,???
ESTJ,"Not at all. I really appreciate nice people.

I do, however, get bored with people who are nice to the point of being doormats. Or people who lack a certain level of decisiveness."
ESTJ,"I know a lot of people say ESTJ are not very affectionate and kind but I disagree with my experience with a few I know. Which bring me to my question, are ESTJ affectionate and kind to people ingeneral? If not do they just have to be close to the person? And do ESTJ dislike nice people?"
ESTJ,"Ok, I'm not ESTJ, but I know a number of them.

Usually people say ESTJs are mean and not affectionate , then someone comes in with an exception like ""ESTJs aren't mean and not affectionate contrary to popular belief.""
It goes back and forth. ESTJs prefer to be more professional in their approach with strangers, not mean, not too nice, just neutral. With people they are close too they can relax and show affection but it is not in ways that are obvious to people who do not know them, some forms of ESTJ affection can be making you the butt of their jokes (this is a way to draw attention to you and pick you out of a group of people to say ""Hey, I notice you, and I like you as a person, otherwise I wouldn't be taking the time to say your name let alone make a joke about you."") Super duper forms of affection are not normal for an ESTJ, they can put on a professional smile, they can be polite to strangers just fine but this does not mean much and only is done because it's how one must conduct themselves in public, or to show they were raised right. This whole professional demeanor is dropped with close friends, as they joke more say more crude things and relax.

ESTJs also do not dislike nice people and they appreciate truly kind people, what they find uncomfortable and distrusting is huge displays of flagrant emotion, they may not know why someone is being so favorable towards them or how honest someone is being when they dole out things like ""OH MY GOD I LOVE YOUUUUU! OH MY GOD I'VE MISSED YOUUUU."" And it's not common for an ESTJ to show those forms of affection. ESTJ forms of affection come more in the form of acts of service. If an ESTJ ever shows concern in your well being or your problems, they care about you to some extent to supply their greatest strength and asset to you, their energy and their time, because ESTJs can be highly scheduled people and do not give their precious time to things that do not matter to them, because they have something more important to do.

If you are seeking warm compassion, ESTJ will respond with professional and neutral responses. So you will be disappointed.

But as far as people close to them, usually these people can range from work buddies who share their work struggles and listen to their work complaints, a stress reliever and sounding board if you will, old time friends they can reminisce with and share those that their worldview, people they can go out with and have a good time drinking a beer with, to people who can help them relax and laugh because they can playfully bring up things that are unordinary and help the ESTJ get out of a serious mind frame and be silly for a few minutes before they get back to work.

With the ESTJs I've known I usually end up being the silly non threatening friend they at first kinda like to keep around, but then start to REALLY like to keep around lol. I've even made my ESTJ boss, who is a pretty intimidating woman, laugh by saying a silly and unusual joke. It seems like a nice treat if the silliness does not distract one from getting work done.

All the ESTJs I've known they've never been super affectionate, even one girl I knew and friends with was not super affectionate, it's more like they are enthusiastic about helping me if I have a goal or a problem, and that's an easy way to see ""Wow this person is a real friend!"" and it's easy to see they care about you through that enthusiasm. I remember one time I missed my bus and it was driving to a bus stop a mile down the street, my ESTJ friend who dropped me off at my current bus stop, saw that I missed my bus, and he pulled up to me and said ""Hey, let's catch that bus."" Like some old time movie crime partner lol, I hopped in the car and he raced after that bus, and he didn't feel burdened or anything, he was excited to help even though it had nothing to do with him, that felt like real friendship, no affection or any of that stuff needed (also we are both guys so that's weird lol). I've also had another ESTJ friend who I let stay at my apartment for 2 months, he fixed me lunch for work everyday he stayed there LOL, without asking, and he cooked for me and my roommate, without asking, we are both guys so it was weird at first but he was happy to do it, and felt like he couldn't stay in my house without contributing something, even though nothing was required, good friend, no extra emotion or affection needed once again, and we are close. I've had another ESTJ friend pay for his own and my plane flight ticket, just because he was excited I agreed to go out of town to an event with him. That to me seems like and ESTJ being ""affectionate."" But I think with strangers they'd rather be professional, polite, neutral, or just social, but not super emotionally expressive or accommodating to people they do not know.

I mean I've seen an ESTJ talk about how when his daughter started to distance herself from him when she was in her rebellious teens, he just started to bring her in closer, taking her everywhere with him and trying to keep the relationship strong.
I've also seen an ESTJ cry many times in public about his wife who passed away years ago, and the way he talks about her you can tell he loved her and she was everything to him.

So yea, they are people, like everybody else.

I know these are really personalized examples, so at best they just provide a bunch of exceptions to common stereotypes, but at least it shows there is no one way to be ESTJ even if thre are common trends among them."
ESTJ,Hahaha. This is like trying to meet warm bodies in a graveyard. But good luck to you.
ESTJ,"Personally, this isn't something I do. Generally speaking, this isn't something ESTJs do. The type is known for being straightforward to a fault.

However, this is something enneagram type sixes have a tendency to do."
ESTJ,"I don't know what the deal is with some extroverts thinking they are introverts. I see this misunderstanding occur more than introverts thinking they might be extroverts. Maybe it's a lack of self awareness for some, I'm not sure. But some ESTJs can be very quite and not social, simply because they aren't interested in what the group is talking about, but once you talk to them about themselves or something they know, you can tell this person could have a conversation with a wall, meaning that once they get started they do not require you to speak anymore lol,<< Extrovert. My Pastor is an ESTJ and he think's he's an introvert because sometimes he likes to get alone and take a break from socializing and read a book -_-.

What I honestly think is this, someone will read the extrovert and introvert descriptions, and an extrovert might read the E descriptions through the lens of ""this is normal behavior everybody does this."" and when they read the I description they see it through the lens of ""Oh wow I do that sometimes, that's what that is? Wow I must be an introvert since I do like alone time sometimes."" Not realizing that their own surprise at why they might like alone time occasionally is the very thing that exposes them as an extrovert, if alone time is something surprising or ""different"" or unusual for you, but not really necessary, you are an E.


TLDR:
Sorry, that probably was a load you did not even care to read lol. I agree, I do think some EXTJs can come off like and think they are extroverts, since they can be socially detached because they simply are not interested in the conversation at had."
ESTJ,"I don't ever think that unless a person gives me proof otherwise. I can't speak for other ESTJs, but I think we generally don't look down on people."
ESTJ,"Hello ESTJs.

Need your advice.

Summary: ENFP mum wants to help her sincere ESTJ teen child achieve her highest potential. Seeks your advice on how to go about doing so.

Background: ENFP mum, INTP dad and ESTJ child. Academically forward family. Child with great big dreams of getting 'recognition in the world, some day'. Very balanced, mature child, however.

Warning: Long context below.

CONTEXT:
My child - going into her teens - I suspect, is an ESTJ. She is very responsible (has always been), mature with what she says and doesn't say, has great discernment around what to share with people (how much and with whom and when), knows to be diplomatic when necessary (to get the job done) and loves the people in her life (though she isn't quick to share much at all about her personal space). She values the family structure, has a fairly linear sort of cause-->effect connections in her thinking, can handle complex operational tasks systematically, has the greatest respect for time and for institutions, respects other people who are worthy of it.

Many wonderful ESTJ qualities.

BUT, she is not a fighter-to-the-top sort of competitive girl. She sets herself high standards, and works systematically towards meeting them, but doesn't have that drive to cross the i's, dot the t's and do the last 10% polishing to go from a 90% level of preparation to a rock solid 100% level. To her, time is so important that if it is spent too much on polishing, it feels like a waste. Plus, the monotony of books-based work bores her, I think. (She never complains, so I don't know for sure. But it seems like that to me.)
Unless, of course, ""the teacher said that polishing was an important step"" prior to going for a test or doing a project. Then, she gives her 105%, if there is such a thing! Her teachers love her to bits!

But where the ask/demand doesn't come from outside, her achievements are always 5% to 10% short of her potential. This burns me as a parent, because I know that she wishes to be right up there at the top and was working towards it the whole time. After multiple instances of settling at a 90-95th percentile range, she now believes that this is all she is capable of being. WHICH IS JUST NOT TRUE! I know I am not overestimating her, because when I have sat with her to ensure the polishing is done, the results are truly reflective of her real potential. But she argues in her mind that her best results only happen when mum helps. Which, of course, isn't helpful at her age. I no longer think it is good for me to actively help her with her studying (she is a teen!), so I don't really help her much unless I feel that she is in danger of destroying her own self-confidence. In topics that are her weak areas, I help her early by reminding her that she needs to put timetables in place and working with her to ensure that she doesn't let the 'boring subjects' slip. Once put on track, she does the work. If I feel she isn't comprehending something correctly, I step in and help. I am happy to help with the learning. But I don't want to help with the goal-chasing itself - those standards are for her to set and work towards.

I am an ENFP. My husband is an INTP. Between us parents, I use my Te a lot lot better than he does, to provide structure and organization and a sense of reliability to her. But you can imagine. How good can an ENFP's structure be? Only mediocre... so I always feel that I am not giving her the right environment to bloom. I am very conscious of how important it is for her that we are reliable and am constantly fighting my own instincts, and doing things more systematically. Honestly, it is only working about 30% of the time when it comes to the 'small things'. But I NEVER LET HER DOWN in anything important.

To support her ESTJ nature:
I give her responsibilities bigger than what most parents give their children and trust her with far bigger things than other parents do. This makes her feel good and she has told me as much. She totally keeps up her end in these matters.

But when it comes to books-based education, I would like her to somehow put the finishing touches without balking.

In general, she does things fast and reliably. If an authority figure wanted her to do it perfectly and explicitly said so, she will work on the perfection bits too. Otherwise, her default behaviour is to do efficient work within a given amount of time and not work towards perfection itself. Is this typical of ESTJ children? My adult-ESTJ friends are such perfectionists!!! How does that happen?

As ESTJs, what suggestion would you have for this mother? I so want to help this sincere, wonderful child be the best that she can be! I so want her to find areas that she will be a natural at, so that she can excel in them effortlessly! Recognition is important to her, I know. But she sometimes has a 90% attitude towards excellence... so her results show exactly that. How can I help her believe in herself more powerfully and find the intrinsic motivation to manifest her best self? Right now, she is settling for too little...


(Please don't judge me as a ""Tiger Mom"". I am only seeking to help my child be her best. I am not interested in her achievements for my own sake... neither do I love her any more or any less because of her results in academic efforts. I respect her individuality. I want to do the right steps to help her be her best self. Please help me.)"
ESTJ,"Dont assume, dont project.

Granted I didnt read most of what you wrote, but either way just let your teen figure it out. Just go with anything she says, support her with any experience she might want to try"
ESTJ,@Coburn is the current resident ESTJ.
ESTJ,"
You're in luck. I'm in academia and one of my male colleagues is ESTJ and has a PhD in philosophy.
Having said that, he's got a razor-sharp mind, but is clearly a sensor. Regardless of who he's speaking to (and he does adjust according to his intended audience), but it's always ""This is A, and then we do B, and so C happens"", etc. Very linear (which as a fellow SJ, I appreciate a great deal)."
ESTJ,"Our first fight. People are always nice when you first meet them, and love interests are always perfect when you first date them. I have a 6 month rule, no exclusivity before that. Let us run into trouble, misunderstandings, fights.

Only then you will know the true face of people, and if they're mature enough to stick it out with you and communicate effectively. Not many can do this though, be aware that your success rate may not be as high. But who cares? Why would you settle for less in a relationship."
ESTJ,"Cross posted in the ISTJ forum, I think said person is xSTJ - so insight would be appreciated.

Alright I am going to post here despite the fact that this area seems as dead as the ENTJs area haha.

So here goes. There has been a girl in my life for years, decades.
She was literally the first person in my adult life that I considered making my gf, I never told her that.
I was young, I felt like it was corny - I never took her for a girl that liked corny shit. She always made me feel - young.

She had her stuff together, always seemed like a step a head of me. Graduated from school before me - bachelors. Graduated from Law school before I became a Chiro. Got a BMW when I was driving a old truck. Got a house when I was still living in an apartment.

Going back in time - when we were young. She was just about to go to Law school and that's the first time we admitted to liking one another despite having mutual friends. We were still going to clubs, we danced, we flirted before but she seemed bigger than me and I couldn't get a read on her. Weeks before she left, we messed around. I wasn't sure if it was just the alcohol in us, but to make a long story short it didn't go well because her mom busted us making out at her apartment as she kicked everyone partying out one morning.

So I was like crap - we ended our time before she left, with her saying we could go out and get a beer. It was Modelo Especial, I remember how radiant she was that night and it was intimidating. Anyway, her being the one ahead of me dropped me off. She literally told me before we left - so are you going to kiss me or what? And so we did and that was the last time I'd see her for years. We kept in contact via text for months and just faded away. It was before social media was big so it was literally just a void, no long distance stuff. I met someone else and was with them for many years before we split.

I finally graduated from school, now social media is popular. I found her as she and I have mutual friends. We caught up. I moved back to our home city. We met up - now she was an attorney. Still a step a head. She was proud that I had a degree but I felt ashamed that I wasn't where I wanted to be. I still liked her but I wasn't sure if she liked me.

She actually became a patient of mine after a car accident - my first car accident patient. I was a freaking fledgling chiro and I wasn't even sure if what I was doing helped her. I felt close to her but was still unsure about her feelings towards me.

We sort of keep in contact now. I moved away to a city about 2 hours from her. I am now where I want to be. Car, House - I have my stuff on par with her. Now she's next leveling me and is super fit, and I'm like fuck. I feel like she always raises the bar somehow.

Getting older now and she is too. I know she's single because I literally saw her profile on tinder, I literally had no idea if she was prior to that. Even being social media friends, she's pretty private about her personal life... despite having like thousands of friends on social media now. (I never saw her as such a social butterfly but I think it's because she has an objective).

I had her take the personality test: She tested ISTJ-T
It's not surprising, I like her and really always have.
She has no kids like me, we're both career professionals, obviously there was attraction before any of that transpired.
We have mutual friends, like it all lines up.

Confounding factors include, she knows I've had gfs and remained friends with her and we live in different cities.
From my standpoint - she's obscure and flighty but I've always liked that she was direct when she wanted something.
It's almost like I just want her to tell me what she wants but I can't pry it out of her.
I miss the days when she was like ""so are you going to kiss me?""

How do I approach this confusing woman?"
ESTJ,"Of course I worry. I don't want to hurt or be mean to anyone on purpose, who would be okay with that? Especially my loved ones, how could i not worry about their reactions or opinions?
The key lies in evaluating whether the opinion or reaction you get is valid. Very ESTJ sentence, I know. But is it valid that someone gets, e.g. upset with you for drawing boundaries? mad at you for following your dream and purpose of self? Is it valid that someone gets to voice an opinion on who they think you are, even if its nothing like you?
People are subjective, be aware of that. Don't take everyone as a matter of fact, believe in your judgement or only of those who you trust."
ESTJ,Yeah not to worry about what others may react.
ESTJ,"Hard agree. Why do people think ENTJ assertiveness is cool, but ESTJ is bossy and rude and mean and all of these bad insights."
ESTJ,"Hi Eren,

I would suggest you look into the situations where bossiness/assertiveness come into play. Are they in situations when you need to defend yourself? Situations when someone is not taking the lead? I would suggest going from there.

Next, I don't think you should feel guilty for being bossy. Most of the time I find that my bossiness comes from a place of caring where I want to improve other people."
ESTJ,"Not sure how to answer 'quirky' since I see myself as normal lol. Why do you think they're an ESTJ? Why did you consider the other types? Those two are very different types.

I can paint a general picture if you want: I see the world as right or wrong due to my enneagram flavoring (1w2 so) and commonly criticize the people around me for their opinions and actions. I'm not afraid to do this because of my Te, I make it very well known in arguments using facts and logic that my points are sane, and better. This comes from a place of wanting to protect people though."
ESTJ,"

Thanks for that!

I thought ESTP originally but couldn't quite pinpoint certain things.

Amazing that your family has all those interests.

Oh I read your post before about feeling ""left-out""? Due to bias towards NTs or just N types in general.

It does get rather annoying and I'm sorry you had to go through that. It is very off-putting for new-comers.

I may have been a bit like this when I was younger and new to MBTI... Well fortunately not now.

Hopefully they learn in their own time that all sorts of people have all sorts of things to offer.
And that we're all humans, with hopes and fears."
ESTJ,"Yes, indeed! I've learned to accept my Te+Si, it makes me one hell of a defender ;-)."
ESTJ,Yes.
ESTJ,"Can be friendly! Can be nice. Sometimes I get irritated with SOME INFJs because those particular individuals have a holier than thou attitude - i.e: Go Vegan or Else You're wrong / Mega Feminist / Other BS. That turns me off.

My boyfriend is an INFJ, and he's very much my opposite. Very laid back, a hard worker, but very, very, laid back. I think this is a cultural attitude actually since he is from Brazil. Also, he tends to be very secluded. He makes effort to talk to me, but it feels like it's not enough sometimes."
ESTJ,"We invest time and energy into you by adjusting our life plans to accommodate you.

"
ESTJ,"Why would they stay with you for obligations or tradition lol.

"
ESTJ,Solve their problems ???? brainstorm for a solution over ice cream or something maybe. Helping is caring ??? ???
ESTJ,"Where my life is heading, where it could go. Friends and family."
ESTJ,"

Not sure. I have friends that tell me I live very much in the moment. I like indulging my senses. Music is playing. I cook good food. Despite being over weight right now I can get into habits of exercise where I push myself to the brink, gasping at the end of sessions.

"
INFP,"as a person who spent a good portion of my life doing everything in my power to stifle supress and down right destroy all emotion I have a hard time with it now. I did my absolute best to eliminate it, because for the most part the shear magnitude of negative feelings I had been gathering in my life was going to drive me insane. So I did the one thing that I could do at the time and that was suppress, bury and kill all semblance of emotion. If I wasn't being crippled by it, then I could at least go about doing something about it and work towards a solution.

Now I'm older and life isn't as bad as it was, so I've been trying to really experience emotion again care about things. Let other emotions beside the occasional spot of mindless rage consume my being and steal my ability to reason. What I've come to realise is for the most part, I feel like my emotions don't belong to me. like their some distant thing ignored and suppressed for so long they seem awkward and clumsy and over powering. They erode at the self control, and dedication to reason I have crafted over these many years and I often feel lost.

Unwilling to admit to people I know that I could even feel things deeply, or that anything really matters to me. No one knows me truly and for the most part no one really cares too. Which in some ways is comforting because the notion of somebody getting close enough to actually injure me again and leave that gaping black abyss. That chasm of hopelessness, frustration, and deep sadness, that suffuses my body until I have no choice left but to put most efforts into fighting the feeling. Fearing what it might do to me and what horrible pitiable creature I may become if it's left unchecked.

I feel a bit like a coward, but I realize, that the realization will in fact allow me to confront this issue boldly and with open eyes. This is one of the first time I've really admitted my frustrations, or even having fears or weakness of any sort. I may say I'm wrong but will in general never admit to it being an issue of me as a person being incapable of being right in the situation. Here I think it is an issue of me as a person and I'm going to try and confront this screwed up world of feeling I willingly buried. It scares the living shit out of me, and I don't really know what I'm doing anymore but I'll at least try and if I fail I'll dust myself off and go at it again. After all it's only failure if you accept it."
INFP,"I repress most of my emotions and feelings in real life unless someone taps into the reservoir of anger which sometimes boils over.

I laugh uncontrollably at stupid humor like The Office and the Onion News Network. Sometimes I laugh so hard that I cry. But I never show sadness beyond my normal blank demeanor. At funerals, I don't cry. I just carry a heavy weight in my heart until the sadness yields to my usual melancholic temperament."
INFP,"...It's like I have this great void in me, and then, once there was a bird, gabba gabba, I forget to brush my teeth sometimes, I need to do the laundry and I hate doing laundry, I dunno what I'm gonna eat today, why does nothing ever happen? I eat way too much snacks and junk food and I should exercise more. And the tap water in these apartments really suck, and I can't find that one brand of lactose-free milk that I can actually drink, and I've only been drinking Coke for days, and I like to take long walks and I wish something would actually happen during them, you know this xkcd comic where this guy complains that the empty city at the very earliest hours of morning isn't as good a place to meet people as it should be? I agree. I watched part of this movie called The Bird People in China, it really wasn't anywhere near as good as expected, I'm kinda disappointed but I intend to give it another chance. An ink eraser is an instrument used to remove ink from a writing surface. There are two types: a traditional metal ink eraser, in which the ink is literally scraped off the surface, and the chemically imbibed ink eradicator, in which a vinyl eraser is imbibed with a substance that chemically reacts with the ink to remove it. I spoke to a guy at school today during chemistry class, he didn't seem too friendly or too bright. Me and my roommate are conducting this experiment where we are only talking english at home, and we're swedish. I had a short conversation with a finnish girl, she was nice. Some worker houses from the 19th Century still remain in the area close to the estuary. A substantial Post War Local Authority housing estate was developed in the 1930s. Further local authority housing was developed in the 1970s and in the early 2000s more housing has been built. About 28% of the properties in the area are detached houses with about 36% of the housing stock being semi-detached. I have tinnitus sometimes for weeks in a row, then it disappears. I also have recurring migraines. The wall's moat has also left its mark on London; it forms the line of the street of Houndsditch. This was once London's main rubbish disposal site and was notorious for its appalling odour; its name, according to the 16th century historian John Stow, was derived ""from that in old time, when the same lay open, much filth (conveyed forth of the City) especially dead dogges were there laid or cast."" The moat was finally covered over and filled in at the end of the 16th century, becoming the present street. Is that George Lucas behind the camera? This equipment is fully digital and does not require the use of film. The cameras are activated by a loop embedded in the road surface and will take three pictures. The first and second photographs will show the movement of the vehicle and the third is a close up of the vehicle to determine the make, model, colour and registration number. The time and date will be recorded with each image. These images are down loaded direct to the viewing office for processing via a standard ASDL line. This equipment was type approved by the Secretary of State in May 2003. As is the case of fixed roadside Gatso cameras, there is a requirement to have secondary check marks painted on stretches of road covered by RedSpeed digital speed cameras. The marks are placed exactly one metre apart, so the distance travelled by the speeding vehicle between the two photographs can be calculated. This is done purely as a safeguard for the driver to ensure the speed registered by the camera is accurate. With digital cameras, the speed between the check marks is calculated automatically by the processing equipment. Where there is a discrepancy or the equipment fails to produce the secondary speed check, no action will be taken against the driver. Kyle, your word is ""phylum""...



tl:dr; So lonely, dunno what to do."
INFP,"Ugh, the stuff that's usually on my mind seems to personal to voice. "
INFP,"Okay well... I am going to let some of it out. You don't want it all. Believe me.

I am tired of getting hurt. I am tired of getting emotionally attached to people so easy and then have them rip that away.
Why can't I ever make any friends? It really bugs me. My newest friend has been my friend for six years now. Every time I try...I fail. I will try to take initiative and strike up a conversation. This doesn't ever go anywhere. Is as if once the talk is over, regardless of how long or short it is, it goes back to the way it was prior to the conversation. I really don't like my social awkwardness. It's hard enough talking to another guy I don't know, but when its a girl... I am a complete idiot. I really get that thread about how guys get dumber talking to beautiful women. It really bothers me that for one reason or another the befriending challenge largely extends to even online, where I am much more social. Do people hate me? Am I invisible?

I really dislike my intellegience. I consider myself a dumb INFP. I haven't played an instrament aside a recorder, at least thats what they called it back in 4-6th grade. I like music but I am also very picky on which I like. I can be a decent artist but I have to have a reference, and a bit of time to draw. I don't particularly get any enjoyment out of drawing either. I like working with wood, but the tools for any project I would like to do are a bit expensive. I miss karate, I want to go back into the martial arts. I don't have the time nor money to do so however. I REALLY want to take up archery: not as a sport, just for recreation.
I hate homework. I am in college but in a Junior college. They give much more busy work than normal colleges from what I observed. It is really annoying. I have a horrible memory for specifics. I can't remember names or formula or details in literary work. While as a person I am fine with this, it is a bit bothersome. The details are what everyone expects you to remember. *sigh*

I worry that I wont find a girlfriend again. I haven't gone out on a date in 3 years. I am 22 and have no real strategy on even going about finding one. I can't even seem make new friends so this seems like an impossible task. I really, really, REALLY, don't like my lack of hobbies. I have things I want to do, but unfortunately I can't afford them because I don't have a job. I don't like not having a job. I must have a secret label on my forehead saying ""Don't hire me, I am made of nuclear waste and fail!"" I have been looking, albeit not constantly for a job since my first year out of high school. I graduated in 05 if you were wondering. The town I live next too sucks freaking hairy monkey nuts. Unless you want a job in retail or fast food. Good luck finding anything. I believe this lack of choice is a big part of why I don't get hired, along with my college schedule. I would think an INFP male would be a horrible salesmen. I want to get out of my Junior college already. I am almost done but the classes I need to transfer are stacked in a way that has postponed my transfer be over a year.

I really worry about my future career plans. I have no idea what I want to do. I thought about teacher, but lately all I hear on the news is them getting the short end of the stick.

I feel hollow, or perhaps dead inside. I don't know how you categorize this but. I don't get ""energy from either talking to ""people"" or being by myself. I only feel energized when I am talking or just being around people I care about: which is something in very short supply these days. I feel as if my dreams are becoming more and more distant and distorted as I try to ""compromise"" to get what I want. Occasionally I meet cool people online, but I often wonder where are they in real life? I usually give up because I assume they are in a similar position I am, which means I will have to either be lucky enough to get partnered up with them in a class, or go door by door asking if there is an INFP in the house.

Since about a year and a half ago, I started to laugh quite a bit more. I laugh at just about anything, granted I am comfortable with the company. I do wonder though if I am really happy or just using humor as an emotional high to get over my gloom.
I always feel and think like when talking to the opposite sex, that they probably think I am trying to come on to them. 99% of the time this isn't the case. I need to get over that issue, but I don't know if its just me thinking this or if it really is the case.

Okay, while that was a bunch of negative mumbo jumbo, I figured I would talk about some more positive things, despite being in a sad mood for the past five days. I do like my personality by and large. I like being kind and good. I like having complete faith in my values and morals. I like knowing that when I give my word to someone, I go out of my way to try to fulfill it. I love love, even if I don't get as much as I would like. I look forward to having children some day. I think being a dad would be very rewarding. I like seeing things in a different light from people around me, even other INFPs. I like that I can, at least I think I can, see problems from many perspectives. I had to learn this in my previous relationship to defuse tensions, expand ideas, etc. I really like my dreams, even though some of them can be a bit dark and depressing. I also like the rain, I know, a bit random. I like how my imagination takes off when reading or watching something I really enjoy. I feel as if I am in the reality that I am experienceing.

I would add more but, I am both pressed for time, as I have to start getting ready for class soon, and that I am still a bit depressed(?) about a multitude of things. Not to mention a bit angry at myself for a undisclosed reason. The anger part is legit and I am dealing with it properly, other overwhelming things have just slowed it up a bit i'm thinking.

If any of you feel like saying hi or w/e please do. I come on PC not just for information, but to talk and get to know people. I have to get out of my comfort zone to get things solved, and PC is a nice first step. Almost everyone knows about the personality types, If only people in my area shared the same parallel.

Random thought from just that last part: I should go to school one day with a INFP name tag on my shirt to see if anything happens. Not like I am worried about becoming a social outcast, I am already there! Thanks for reading my rant, thoughts, or whatever you would like to call the abomination above. ^ roud:



I wrote more that I thought >.< sorry."
INFP,I can relate to a lot of this stuff Blueguardian. *man-hug*
INFP,"I feel like one in a million when it comes to accepting people for who they are. My lover even said that he's never ever seen anyone as accepting as I am, and he even has a hard time believing it.

This sucks.. cause there's always people bashing other people and I'm always like, Why? Just let them be.

And that's what on my mind."
